"Condition","NoMeth","Meth"
"All Differences",0.455792358604442,0.777777020321077
"All Differences",0.391857192904327,0.815657029121864
"All Differences",0.50762144257924,0.947927079163522
"All Differences",0.611546482602142,1.37214294509793
"All Differences",0.51039911836407,0.996539883140424
"All Differences",0.543876924183897,1.02590993963664
"All Differences",0.550483080011616,1.11224358246101
"All Differences",0.555398502518253,1.05912717142645
"All Differences",0.50948774324662,0.9732278997853
"All Differences",0.494851752278671,0.86074393724197
"All Differences",0.566400065195543,1.02892500580074
"All Differences",0.581069678139942,1.08165523516835
"All Differences",0.638612722856758,1.32847414312784
"All Differences",0.550533516308855,0.683476141982858
"All Differences",0.470493187517733,0.751528611778378
"All Differences",0.544029791139246,0.965440984407091
"All Differences",0.488182829840305,0.792182982226573
"All Differences",0.540478020477172,1.02533182720065
"All Differences",0.652073636256378,0.945372385646339
"All Differences",0.647800366177468,0.974534595460319
"All Differences",0.487339356929645,1.30538004572281
"All Differences",0.582160020850901,1.34776347070575
"All Differences",0.480634350476933,1.1692648387782
"All Differences",0.603317560717358,0.92640268361873
"All Differences",0.52008204279243,0.779312265172891
"All Differences",0.365638908981309,0.927462218270581
"All Differences",0.522343016513949,1.01692077142641
"All Differences",0.48969472832094,0.919598117361608
"All Differences",0.470847905063145,1.03997938041655
"All Differences",0.516803660771078,1.07577756322266
"All Differences",0.603413725252047,0.737731081012311
"All Differences",0.541933286453159,1.16208429941272
"All Differences",0.560811169030429,1.12556304021688
"All Differences",0.634986547515468,1.16708501740985
"All Differences",0.608926422975478,1.43539380233741
"All Differences",0.403791742008892,0.669872240976395
"All Differences",0.601570356386834,1.21403686454105
"All Differences",0.581259706780124,1.10927528588788
"All Differences",0.455553035381512,1.01759947060083
"All Differences",0.537944242814957,1.06761731751289
"All Differences",0.512293798692674,0.92363439791902
"All Differences",0.518904546066912,0.740899621473298
"All Differences",0.524018772083016,1.01808446336849
"All Differences",0.372011843857077,0.735113804040798
"All Differences",0.579710437844764,1.30697444278532
"All Differences",0.551051551409678,1.22102930275225
"All Differences",0.467363570847627,0.879389613435866
"All Differences",0.536650110069321,0.753792053901025
"All Differences",0.520493184448093,1.00874993394154
"All Differences",0.477615660899463,0.755851274667117
"All Differences",0.595099600577103,0.884086673532538
"All Differences",0.647225954884342,1.16300865183007
"All Differences",0.513970012465817,1.25316488798008
"All Differences",0.504080618063888,0.904074722647693
"All Differences",0.525873135898338,0.78325657119784
"All Differences",0.549533564955739,0.884301208023
"All Differences",0.560394503886151,0.920475762802682
"All Differences",0.551975486662574,0.768908865745054
"All Differences",0.47908574225255,1.23637901170485
"All Differences",0.584146129124863,1.28925772060514
"All Differences",0.416812947706128,0.954559303130517
"All Differences",0.516903559626678,1.21952963319665
"All Differences",0.580431000250436,1.05659425438127
"All Differences",0.541109783183486,0.957523830818328
"All Differences",0.545957099349927,0.973151186315835
"All Differences",0.490448670327402,1.08261656147347
"All Differences",0.571320635877384,1.23990342487053
"All Differences",0.603566529911377,0.986535177090688
"All Differences",0.597496275657,0.986147401692554
"All Differences",0.494486090842401,0.812331868283889
"All Differences",0.54618972273537,0.966929812154836
"All Differences",0.543375963193383,1.17291950072593
"All Differences",0.476680331343273,0.874927559833554
"All Differences",0.568334507896614,1.32580307728805
"All Differences",0.488597887041113,1.08841024907389
"All Differences",0.502651974819717,0.832628773522951
"All Differences",0.694936989603627,1.0297254408571
"All Differences",0.591173964454168,1.02173665309612
"All Differences",0.584698297602583,1.23526792796061
"All Differences",0.538910653759387,1.21194854830315
"All Differences",0.553905814721954,1.07363312473547
"All Differences",0.538558003253715,1.02351768273826
"All Differences",0.573799538261643,1.16012257216826
"All Differences",0.678771979905811,1.44190933873408
"All Differences",0.606232664759803,1.37128388472311
"All Differences",0.572915788185471,1.08976431261176
"All Differences",0.514023370091476,0.792918055938851
"All Differences",0.55693352673918,0.82796472297687
"All Differences",0.480931259636571,0.917555153912178
"All Differences",0.561764112990457,0.849127979870103
